dense_source_id,dense_dest_id,airline,equipment,price_usd,duration_mins,departure_time,arrival_time,day_change
3232,2236,2G,A81,262,130,1050,1240,0
3232,2265,2G,A81,164,140,680,700,0
3232,2237,2G,A81,252,150,95,305,0
3232,2237,2G,A81,301,150,1175,1385,0
4558,2237,2G,AN4,229,80,570,650,0
5387,2237,2G,AN4,258,125,710,775,0
5387,2237,2G,AN4,227,125,710,775,0
2225,2237,2G,A81,287,180,1370,50,1
2225,2237,2G,A81,231,180,665,785,0
2225,2237,2G,A81,701,180,675,795,0
2112,2115,2I,142,96,65,800,865,0
2112,2115,2I,142,86,65,295,360,0
2132,2115,2I,142 141,95,85,110,195,0
2132,2115,2I,142 141,127,85,1375,20,1
2132,2129,2I,142,70,65,500,565,0
2132,2129,2I,142,85,65,845,910,0
2132,2129,2I,142,76,65,315,380,0
4060,2115,2I,141,79,60,1045,1105,0
4060,2115,2I,141,144,60,1415,35,1
2123,2109,2I,143,99,80,445,525,0
2123,2109,2I,143,99,80,1400,40,1
2123,2127,2I,142,100,75,1100,1175,0
2115,2112,2I,142,88,65,1190,1255,0
2115,2112,2I,142,94,65,1305,1370,0
2115,2132,2I,142 141,105,85,430,515,0
2115,2132,2I,142 141,275,85,855,940,0
2115,2132,2I,142 141,103,85,600,685,0
2115,4060,2I,141,130,60,375,435,0
2115,2109,2I,143 146,113,75,185,260,0
2115,2109,2I,143 146,98,75,495,570,0
2115,2127,2I,142 146,253,85,620,705,0
2115,2127,2I,142 146,106,85,270,355,0
2109,2123,2I,143,107,80,1325,1405,0
2109,2123,2I,143,115,80,310,390,0
2109,2123,2I,143,109,80,1355,1435,0
2109,2115,2I,143 146,114,75,1290,1365,0
2109,2115,2I,143 146,109,75,1140,1215,0
2109,2127,2I,146,72,60,1150,1210,0
2109,2127,2I,146,78,60,705,765,0
2129,2132,2I,142,70,65,610,675,0
2129,2132,2I,142,45,65,730,795,0
2129,2132,2I,142,133,65,1380,5,1
2127,2123,2I,142,84,75,390,465,0
2127,2123,2I,142,96,75,1040,1115,0
2127,2115,2I,142 146,112,85,525,610,0
2127,2109,2I,146,84,60,50,110,0
2127,2109,2I,146,88,60,970,1030,0
2127,2109,2I,146,86,60,760,820,0
240,235,2J,CRJ,85,90,1375,25,1
240,235,2J,CRJ,78,90,560,650,0
240,234,2J,E70 CRJ M87,103,100,70,170,0
240,234,2J,E70 CRJ M87,108,100,1035,1135,0
236,234,2J,CRJ,176,95,1365,20,1
803,240,2J,M87,203,110,65,175,0
803,240,2J,M87,58,110,1180,1290,0
803,240,2J,M87,59,110,835,945,0
803,838,2J,M87,128,120,710,830,0
803,838,2J,M87,115,120,645,765,0
803,234,2J,CRJ,215,90,1380,30,1
803,234,2J,CRJ,95,90,570,660,0
803,234,2J,CRJ,99,90,100,190,0
235,240,2J,CRJ,77,90,50,140,0
235,234,2J,CRJ,53,65,290,355,0
235,234,2J,CRJ,52,65,655,720,0
233,279,2J,M87,37,50,290,280,0
233,279,2J,M87,64,50,795,785,0
233,279,2J,M87,47,50,795,785,0
233,234,2J,M87,86,100,1015,1055,0
233,234,2J,M87,216,100,620,660,0
838,803,2J,M87,119,120,305,425,0
838,803,2J,M87,114,120,105,225,0
838,803,2J,M87,250,120,945,1065,0
838,234,2J,M87,151,170,1075,1245,0
279,234,2J,M87 CRJ,90,95,1175,1270,0
279,234,2J,M87 CRJ,85,95,1335,1430,0
266,234,2J,CRJ,71,70,1235,1245,0
266,234,2J,CRJ,60,70,685,695,0
266,234,2J,CRJ,64,70,220,230,0
234,240,2J,E70 CRJ M87,98,100,970,1070,0
234,240,2J,E70 CRJ M87,53,100,830,930,0
234,236,2J,CRJ,95,95,870,965,0
234,236,2J,CRJ,93,95,705,800,0
234,803,2J,M87 CRJ,51,90,215,305,0
234,235,2J,CRJ,61,65,615,680,0
234,235,2J,CRJ,50,65,1255,1320,0
234,235,2J,CRJ,37,65,750,815,0
234,233,2J,M87,96,100,940,1100,0
234,233,2J,M87,96,100,1085,1245,0
234,838,2J,M87,158,170,1160,1330,0
234,838,2J,M87,162,170,305,475,0
234,279,2J,CRJ,97,95,1370,25,1
234,279,2J,CRJ,55,95,490,585,0
234,279,2J,CRJ,105,95,1340,1435,0
234,266,2J,CRJ,35,70,755,885,0
2044,2023,2K,319,206,115,1365,40,1
2044,2030,2K,319 320,120,95,1415,70,1
2050,2023,2K,319,166,95,1255,1350,0
2050,2023,2K,319,107,95,725,820,0
2050,2023,2K,319,101,95,470,565,0
2023,2044,2K,319,129,115,290,405,0
2023,2044,2K,319,141,115,185,300,0
2023,2050,2K,319,124,95,380,475,0
2023,4042,2K,319 320,324,120,635,695,0
2023,2030,2K,320 319,63,60,575,635,0
2023,2030,2K,320 319,67,60,1130,1190,0
2023,2030,2K,320 319,67,60,1095,1155,0
2020,2030,2K,319,48,50,250,300,0
2020,2030,2K,319,46,50,540,590,0
2020,2030,2K,319,27,50,610,660,0
4042,2023,2K,319 320,147,120,1045,1225,0
2030,2044,2K,319 320,68,95,80,175,0
2030,2044,2K,319 320,185,95,1160,1255,0
2030,2023,2K,319,66,60,505,565,0
2030,2023,2K,319,71,60,380,440,0
2030,2020,2K,319,30,50,150,200,0
1137,1255,2L,100,133,120,735,855,0
1137,1255,2L,100,152,120,775,895,0
1137,1255,2L,100,132,120,1280,1400,0
984,1255,2L,100,115,100,100,200,0
984,1255,2L,100,186,100,640,740,0
984,1255,2L,100,113,100,50,150,0
395,1255,2L,100,109,110,100,270,0
395,1255,2L,100,136,110,1325,55,1
1249,812,2L,319,291,250,1115,1305,0
936,1255,2L,319,253,230,1200,1370,0
812,1255,2L,319,296,265,265,590,0
812,1255,2L,319,354,265,1265,150,1
812,1255,2L,319,496,265,1405,290,1
3335,1255,2L,319,781,290,825,1055,0
3335,1255,2L,319,292,290,1315,105,1
814,1249,2L,319,269,250,1180,50,1
814,1249,2L,319,297,250,925,1235,0
814,1249,2L,319,270,250,1130,0,1
1255,1137,2L,100,132,120,335,455,0
1255,1137,2L,100,333,120,1240,1360,0
1255,1137,2L,100,127,120,610,730,0
1255,984,2L,100,98,100,1410,70,1
1255,395,2L,100,127,110,1180,1230,0
1255,936,2L,319,250,230,1275,125,1
1255,812,2L,319,311,265,695,900,0
1255,812,2L,319,190,265,1205,1410,0
1255,812,2L,319,193,265,980,1185,0
1255,3335,2L,319,320,290,345,695,0
1255,3335,2L,319,373,290,1060,1410,0
1255,3335,2L,319,321,290,680,1030,0
573,566,2N,ATP,57,50,1250,1300,0
573,566,2N,ATP,59,50,1235,1285,0
577,563,2N,ATP,133,105,965,1070,0
577,563,2N,ATP,129,105,480,585,0
577,563,2N,ATP,92,105,980,1085,0
577,560,2N,SF3,101,75,810,885,0
577,548,2N,ATP SF3,86,65,985,1050,0
577,548,2N,ATP SF3,68,65,385,450,0
577,565,2N,ATP,97,70,845,915,0
577,565,2N,ATP,211,70,1125,1195,0
577,565,2N,ATP,85,70,35,105,0
577,3663,2N,SF3,169,60,395,455,0
577,3663,2N,SF3,78,60,675,735,0
577,3663,2N,SF3,82,60,205,265,0
577,566,2N,ATP,110,80,970,1050,0
577,566,2N,ATP,92,80,1245,1325,0
577,566,2N,ATP,68,80,175,255,0
577,367,2N,SF3,57,50,580,690,0
577,367,2N,SF3,62,50,250,360,0
577,568,2N,ATR,51,70,1135,1205,0
577,370,2N,SF3,67,60,115,235,0
577,533,2N,SF3,87,75,955,1030,0
577,533,2N,SF3,102,75,1050,1125,0
577,585,2N,SF3 ATP,166,55,445,500,0
577,572,2N,SF3,110,80,615,695,0
577,572,2N,SF3,99,80,590,670,0
577,572,2N,SF3,120,80,650,730,0
577,561,2N,SF3,76,65,735,800,0
577,561,2N,SF3,97,65,1130,1195,0
563,577,2N,ATP,138,105,1085,1190,0
563,577,2N,ATP,81,105,770,875,0
563,565,2N,ATP,60,75,270,345,0
563,565,2N,ATP,92,75,755,830,0
560,577,2N,SF3 ATP,97,75,1010,1085,0
560,577,2N,SF3 ATP,102,75,125,200,0
560,577,2N,SF3 ATP,87,75,730,805,0
560,548,2N,ATP SF3,63,50,560,610,0
560,548,2N,ATP SF3,68,50,350,400,0
560,561,2N,SF3,57,50,100,150,0
560,561,2N,SF3,51,50,930,980,0
560,561,2N,SF3,57,50,755,805,0
3667,572,2N,SF3,70,50,335,385,0
548,577,2N,ATP SF3,74,65,1355,1420,0
548,577,2N,ATP SF3,87,65,420,485,0
548,560,2N,ATP SF3,58,50,755,805,0
548,560,2N,ATP SF3,53,50,290,340,0
361,370,2N,SF3,81,60,1015,1075,0
565,577,2N,ATP,75,70,230,300,0
565,577,2N,ATP,164,70,1370,0,1
565,563,2N,ATP,108,75,670,745,0
565,563,2N,ATP,171,75,950,1025,0
565,563,2N,ATP,112,75,60,135,0
3663,577,2N,SF3,77,60,565,625,0
3663,577,2N,SF3,70,60,1185,1245,0
566,573,2N,ATP,143,50,295,345,0
566,573,2N,ATP,51,50,775,825,0
566,577,2N,ATP,208,80,1375,15,1
367,577,2N,SF3,63,50,1380,1370,0
367,577,2N,SF3,61,50,395,385,0
367,577,2N,SF3,66,50,1250,1240,0
367,375,2N,SF3,55,50,80,130,0
367,375,2N,SF3,67,50,1135,1185,0
568,577,2N,ATR,106,70,940,1010,0
515,561,2N,SF3,83,70,155,225,0
515,561,2N,SF3,100,70,310,380,0
370,577,2N,SF3,80,60,540,540,0
370,361,2N,SF3,68,60,125,185,0
375,367,2N,SF3,137,50,525,575,0
533,577,2N,SF3,86,75,550,625,0
585,577,2N,SF3 ATP,80,55,5,60,0
572,577,2N,SF3,96,80,1380,20,1
572,3667,2N,SF3,117,50,65,115,0
572,3667,2N,SF3,53,50,605,655,0
572,3667,2N,SF3,141,50,675,725,0
561,577,2N,SF3,84,65,290,355,0
561,577,2N,SF3,75,65,925,990,0
561,577,2N,SF3,53,65,1285,1350,0
561,515,2N,SF3,95,70,1330,1400,0
561,515,2N,SF3,182,70,75,145,0
561,515,2N,SF3,81,70,1025,1095,0
2729,4703,2O,BNI,101,45,1135,1180,0
2729,4703,2O,BNI,113,45,375,420,0
2729,4703,2O,BNI,61,45,1400,5,1
4703,4702,2O,BNI,55,40,1355,1395,0
4703,4702,2O,BNI,122,40,1100,1140,0
4703,4702,2O,BNI,50,40,1410,10,1
4017,1806,2P,DH4,107,90,580,670,0
4017,1806,2P,DH4,86,90,1020,1110,0
3338,1806,2P,320,104,100,800,900,0
3338,1806,2P,320,108,100,390,490,0
1807,1806,2P,320,189,105,215,320,0
4022,1806,2P,DH4,79,75,950,1025,0
4022,1806,2P,DH4,82,75,1435,70,1
4022,1806,2P,DH4,82,75,1050,1125,0
1818,1806,2P,320,97,85,130,215,0
1818,1806,2P,320,189,85,900,985,0
5082,1806,2P,330,351,560,1230,590,1
1809,1806,2P,320,235,120,940,1060,0
1809,1806,2P,320,146,120,575,695,0
1809,1806,2P,320,321,120,1425,105,1
1821,1806,2P,320,121,65,680,745,0
1821,1806,2P,320,65,65,790,855,0
1821,1806,2P,320,70,65,460,525,0
3341,1806,2P,320,143,65,175,240,0
3341,1806,2P,320,136,65,75,140,0
1806,4017,2P,DH4,88,90,1070,1160,0
1806,4017,2P,DH4,106,90,795,885,0
1806,3338,2P,320,97,100,215,315,0
1806,3338,2P,320,101,100,125,225,0
1806,3338,2P,320,107,100,1085,1185,0
1806,1807,2P,320,104,105,550,655,0
1806,1807,2P,320,258,105,1100,1205,0
1806,4022,2P,DH4,73,75,1245,1320,0
1806,4022,2P,DH4,80,75,560,635,0
1806,4022,2P,DH4,53,75,15,90,0
1806,1818,2P,320,83,85,650,735,0
1806,5082,2P,330,388,560,1100,1420,0
1806,5082,2P,330,741,560,585,905,0
1806,1809,2P,320,142,120,180,300,0
1806,1809,2P,320,320,120,1115,1235,0
1806,1821,2P,320,73,65,1095,1160,0
1806,1821,2P,320,66,65,1065,1130,0
1806,3341,2P,320,69,65,435,500,0
1806,3341,2P,320,157,65,925,990,0
1806,1819,2P,DH3,65,65,1115,1180,0
1806,3342,2P,320,98,100,790,890,0
1806,3342,2P,320,229,100,430,530,0
1806,1822,2P,320,59,85,1305,1390,0
1806,1822,2P,320,99,85,895,980,0
1806,1822,2P,320,47,85,375,460,0
1806,4024,2P,320,76,70,440,510,0
1806,4014,2P,DH4,67,95,190,285,0
1806,4014,2P,DH4,104,95,1260,1355,0
1806,4014,2P,DH4,114,95,1145,1240,0
1806,4019,2P,DH4,72,65,825,890,0
1806,4019,2P,DH4,68,65,385,450,0
1806,4019,2P,DH4,71,65,775,840,0
1806,1810,2P,320,225,105,1295,1400,0
1806,1810,2P,320,268,105,95,200,0
1819,1806,2P,DH3,64,65,230,295,0
3342,1806,2P,320,115,100,1415,75,1
3342,1806,2P,320,117,100,105,205,0
1822,1806,2P,320,89,85,480,565,0
1822,1806,2P,320,89,85,385,470,0
1822,1806,2P,320,79,85,875,960,0
4024,1806,2P,320,157,70,440,510,0
4024,1806,2P,320,73,70,1120,1190,0
4024,1806,2P,320,66,70,930,1000,0
4014,1806,2P,DH4,88,95,865,960,0
4014,1806,2P,DH4,163,95,855,950,0
4019,1806,2P,DH4,74,65,985,1050,0
4019,1806,2P,DH4,71,65,380,445,0
4019,1806,2P,DH4,65,65,360,425,0
1810,1806,2P,320,254,105,1000,1105,0
1810,1806,2P,320,110,105,215,320,0
1810,1806,2P,320,120,105,840,945,0
4818,3348,2Z,AT7,172,65,1345,1410,0
4818,3348,2Z,AT7,76,65,1300,1365,0
4818,3348,2Z,AT7,75,65,460,525,0
4815,1900,2Z,AT7,52,80,490,570,0
4815,1900,2Z,AT7,107,80,195,275,0
4815,1977,2Z,AT7,135,95,1380,35,1
4815,1977,2Z,AT7,134,95,95,190,0
4815,1977,2Z,AT7,108,95,335,430,0
1900,4815,2Z,AT7,85,80,420,500,0
1900,4809,2Z,AT7,147,110,605,655,0
1900,4809,2Z,AT7,78,110,1145,1195,0
1900,1970,2Z,AT7,119,85,495,580,0
1900,1970,2Z,AT7,98,85,1125,1210,0
1904,1927,2Z,AT7,138,95,1285,1380,0
1904,1927,2Z,AT7,108,95,510,605,0
1915,1926,2Z,AT7,136,95,130,285,0
1915,1926,2Z,AT7,130,95,1415,130,1
1915,4809,2Z,AT7,94,70,315,385,0
1915,4809,2Z,AT7,88,70,695,765,0
1915,4809,2Z,AT7,212,70,1115,1185,0
1906,4821,2Z,AT7,61,55,890,945,0
1906,4821,2Z,AT7,58,55,1010,1065,0
4821,1906,2Z,AT7,35,55,955,1010,0
4821,1927,2Z,AT7,121,105,855,1020,0
1924,1970,2Z,AT7,86,80,1205,1285,0
1924,1970,2Z,AT7,82,80,1200,1280,0
1927,1904,2Z,AT7,133,95,45,140,0
1927,4821,2Z,AT7,147,105,1350,1395,0
1927,4821,2Z,AT7,118,105,605,650,0
1927,4821,2Z,AT7,141,105,1070,1115,0
1927,1970,2Z,AT7,73,60,280,340,0
1927,1989,2Z,AT7,91,75,40,115,0
1927,1989,2Z,AT7,76,75,365,440,0
1927,1989,2Z,AT7,52,75,900,975,0
1927,1988,2Z,AT7,96,80,215,295,0
1927,1988,2Z,AT7,108,80,1345,1425,0
1927,1988,2Z,AT7,97,80,1295,1375,0
1927,4036,2Z,AT7,186,125,110,235,0
1927,4036,2Z,AT7,155,125,645,770,0
1926,1915,2Z,AT7,77,95,880,915,0
1926,3348,2Z,AT7,220,95,850,945,0
1926,1970,2Z,AT7,104,80,445,525,0
1926,1970,2Z,AT7,108,80,1225,1305,0
1926,1988,2Z,AT7,122,60,1170,1230,0
4809,1900,2Z,AT7,135,110,105,275,0
4809,1915,2Z,AT7,75,70,1390,20,1
4809,1915,2Z,AT7,97,70,485,555,0
1898,1970,2Z,AT7,96,70,845,915,0
3348,4818,2Z,AT7,88,65,1020,1085,0
3348,4818,2Z,AT7,71,65,985,1050,0
3348,1926,2Z,AT7,129,95,1270,1365,0
3348,1926,2Z,AT7,126,95,680,775,0
3348,1926,2Z,AT7,136,95,200,295,0
1970,1900,2Z,AT7,92,85,1395,40,1
1970,1924,2Z,AT7,99,80,755,835,0
1970,1924,2Z,AT7,56,80,1090,1170,0
1970,1927,2Z,AT7,82,60,105,165,0
1970,1927,2Z,AT7,84,60,1110,1170,0
1970,1926,2Z,AT7,96,80,190,270,0
1970,1898,2Z,AT7,78,70,405,475,0
1970,1898,2Z,AT7,138,70,1120,1190,0
1970,1898,2Z,AT7,99,70,935,1005,0
1970,1975,2Z,AT7,69,55,390,445,0
1970,1988,2Z,AT7,71,60,1135,1195,0
1970,1988,2Z,AT7,66,60,1355,1415,0
1975,1970,2Z,AT7,52,55,635,690,0
1975,1970,2Z,AT7,59,55,475,530,0
1977,4815,2Z,AT7,112,95,300,395,0
1977,4815,2Z,AT7,75,95,1140,1235,0
1977,4815,2Z,AT7,63,95,1255,1350,0
1977,4036,2Z,AT7,51,65,1155,1220,0
1989,1927,2Z,AT7,95,75,815,890,0
1989,1988,2Z,AT7,50,50,1385,1435,0
1989,1988,2Z,AT7,60,50,400,450,0
1989,1988,2Z,AT7,53,50,445,495,0
1988,1927,2Z,AT7,92,80,510,590,0
1988,1926,2Z,AT7,73,60,65,125,0
1988,1926,2Z,AT7,72,60,1195,1255,0
1988,1970,2Z,AT7,133,60,220,280,0
1988,1970,2Z,AT7,75,60,1225,1285,0
1988,1970,2Z,AT7,127,60,185,245,0
1988,1989,2Z,AT7,53,50,1150,1200,0
4036,1927,2Z,AT7,147,125,1410,95,1
4036,1977,2Z,AT7,89,65,1105,1170,0
3778,3015,3E,CNC,23,60,1325,1385,0
3778,2868,3E,CNC,45,60,575,635,0
3778,2868,3E,CNC,37,60,725,785,0
3201,3015,3E,CNC,42,60,1410,30,1
3201,3015,3E,CNC,87,60,1365,1425,0
3201,3015,3E,CNC,25,60,390,450,0
3201,2868,3E,CNC,37,55,860,915,0
3201,2868,3E,CNC,89,55,70,125,0
3201,2868,3E,CNC,39,55,675,730,0
2786,2868,3E,CNC,47,65,75,140,0
2786,2868,3E,CNC,42,65,740,805,0
3015,3778,3E,CNC,38,60,1035,1095,0
3015,3201,3E,CNC,40,60,400,460,0
2868,3778,3E,CNC,37,60,870,930,0
2868,3201,3E,CNC,40,55,815,870,0
2868,3201,3E,CNC,67,55,1020,1075,0
2868,3201,3E,CNC,63,55,1435,50,1
2868,2786,3E,CNC,40,65,680,745,0
2993,4695,3F,DHP,43,40,740,780,0
4695,2993,3F,DHP,43,40,635,675,0
4695,2993,3F,DHP,41,40,835,875,0
236,838,3G,319,243,200,405,605,0
236,259,3G,319,66,70,785,915,0
236,259,3G,319,86,70,1005,1135,0
236,819,3G,319,258,125,900,1025,0
952,808,3G,319,323,310,1200,10,1
952,808,3G,319,423,310,275,525,0
952,808,3G,319,364,310,935,1185,0
808,952,3G,319,345,310,130,500,0
808,952,3G,319,367,310,1415,345,1
808,838,3G,319,63,55,1405,20,1
808,838,3G,319,88,55,300,355,0
808,817,3G,319,95,90,865,955,0
808,817,3G,319,59,90,365,455,0
3305,3722,3G,319,115,65,100,165,0
3305,3722,3G,319,70,65,850,915,0
3305,3722,3G,319,70,65,380,445,0
838,236,3G,319,169,200,815,1015,0
838,236,3G,319,242,200,765,965,0
838,808,3G,319,56,55,1360,1415,0
838,808,3G,319,52,55,1215,1270,0
838,808,3G,319,56,55,280,335,0
838,671,3G,319,318,280,65,405,0
838,671,3G,319,351,280,580,920,0
838,671,3G,319,365,280,435,775,0
838,817,3G,319,107,100,375,475,0
838,817,3G,319,68,100,280,380,0
838,259,3G,319,246,225,385,670,0
838,259,3G,319,304,225,1280,125,1
838,3722,3G,319,73,70,155,225,0
838,3722,3G,319,77,70,1435,65,1
838,3722,3G,319,83,70,1345,1415,0
671,838,3G,319,327,280,1360,140,1
671,838,3G,319,311,280,675,895,0
671,259,3G,319,101,95,710,805,0
817,808,3G,319,105,90,735,825,0
817,808,3G,319,94,90,1250,1340,0
817,838,3G,319,119,100,700,800,0
817,838,3G,319,133,100,1390,50,1
817,838,3G,319,127,100,880,980,0
817,407,3G,319,533,405,105,510,0
817,407,3G,319,524,405,885,1290,0
817,819,3G,319,51,70,1225,1295,0
817,819,3G,319,81,70,690,760,0
817,819,3G,319,172,70,350,420,0
407,817,3G,319,1205,405,620,1025,0
259,236,3G,319,145,70,595,605,0
259,838,3G,319,613,225,1205,1370,0
259,838,3G,319,309,225,10,175,0
259,838,3G,319,305,225,400,565,0
259,671,3G,319,119,95,1220,1315,0
259,671,3G,319,115,95,735,830,0
259,819,3G,319,193,155,590,685,0
3722,3305,3G,319,77,65,445,510,0
3722,838,3G,319,66,70,1015,1085,0
819,236,3G,319,123,125,740,865,0
819,236,3G,319,138,125,270,395,0
819,236,3G,319,147,125,1160,1285,0
819,817,3G,319,76,70,340,410,0
819,817,3G,319,73,70,490,560,0
819,259,3G,319,193,155,1170,1385,0
819,259,3G,319,197,155,35,250,0
819,259,3G,319,121,155,490,705,0
3577,3575,3H,DH8,71,55,1090,1145,0
3577,3575,3H,DH8,43,55,240,295,0
3577,4447,3H,DH8,132,45,635,680,0
3577,4447,3H,DH8,79,45,1140,1185,0
3582,148,3H,DHT BET,75,50,25,75,0
3582,148,3H,DHT BET,127,50,600,650,0
58,3567,3H,DHT,82,55,405,460,0
58,3567,3H,DHT,85,55,795,850,0
58,4447,3H,73M,143,95,940,1035,0
58,4447,3H,73M,155,95,340,435,0
58,140,3H,73M,193,110,955,1065,0
58,140,3H,73M,207,110,1205,1315,0
58,140,3H,73M,200,110,555,665,0
3567,58,3H,DHT,83,55,205,260,0
3567,58,3H,DHT,170,55,925,980,0
3567,58,3H,DHT,92,55,155,210,0
3567,3590,3H,BET,194,65,1370,1435,0
3567,3599,3H,DH8,136,55,1130,1185,0
3567,3599,3H,DH8,160,55,1250,1305,0
3567,3599,3H,DH8,80,55,140,195,0
3567,3585,3H,DH8,83,50,145,195,0
3567,3585,3H,DH8,76,50,785,835,0
3567,140,3H,DH8,185,125,555,680,0
3567,143,3H,DH8,145,100,160,260,0
3567,143,3H,DH8,166,100,175,275,0
3575,3577,3H,DH8,42,55,1045,1100,0
3575,3577,3H,DH8,91,55,1075,1130,0
3575,3605,3H,DH8,77,50,965,1015,0
3575,3605,3H,DH8,172,50,1380,1430,0
3553,3579,3H,DHT DH8,66,45,455,500,0
3553,3570,3H,DH8,78,50,570,620,0
3553,148,3H,DH8 DHT,90,55,1185,1240,0
3553,148,3H,DH8 DHT,81,55,1360,1415,0
76,106,3H,DH8,102,110,885,995,0
76,106,3H,DH8,410,110,285,395,0
76,148,3H,DH8 BET,56,70,40,110,0
76,148,3H,DH8 BET,115,70,85,155,0
76,148,3H,DH8 BET,55,70,120,190,0
76,155,3H,BET,92,55,595,710,0
76,155,3H,BET,214,55,140,255,0
76,196,3H,BET DH8,138,80,815,895,0
3590,4447,3H,DH8 BET,73,55,605,660,0
3590,4447,3H,DH8 BET,45,55,1330,1385,0
3590,3585,3H,DH8,99,60,1425,45,1
